title,boxoffice,dates,budget
How to Train Your Dragon 2,177002924,6/13/14,145000000.0
Legends of Oz: Dorothy's Return,8462027,5/9/14,70000000.0
Rio 2,131538435,4/11/14,103000000.0
Mr. Peabody & Sherman,111506430,3/7/14,145000000.0
The LEGO Movie,257760692,2/7/14,60000000.0
The Nut Job,64251541,1/17/14,42000000.0
Frozen,400738009,11/22/13,150000000.0
Free Birds,55750480,11/1/13,55000000.0
Cloudy with a Chance of Meatballs 2,119793567,9/27/13,78000000.0
Planes,90288712,8/9/13,50000000.0
Turbo,83028128,7/17/13,135000000.0
Despicable Me 2,368061265,7/3/13,76000000.0
Epic,107518682,5/24/13,100000000.0
The Croods,187168425,3/22/13,135000000.0
Escape From Planet Earth,57012977,2/15/13,40000000.0
Rise of the Guardians,103412758,11/21/12,145000000.0
Wreck-It Ralph,189422889,11/2/12,165000000.0
Frankenweenie,35291068,10/5/12,39000000.0
Hotel Transylvania,148313048,9/28/12,85000000.0
ParaNorman,56003051,8/17/12,60000000.0
Ice Age: Continental Drift,161321843,7/13/12,95000000.0
Brave,237283207,6/22/12,185000000.0
Madagascar 3: Europe's Most Wanted,216391482,6/8/12,145000000.0
The Pirates! Band of Misfits,31051126,4/27/12,55000000.0
Dr. Seuss' The Lorax,214030500,3/2/12,70000000.0
Puss in Boots,149260504,10/28/11,130000000.0
Winnie the Pooh,26692846,7/15/11,30000000.0
Cars 2,191452396,6/24/11,200000000.0
Kung Fu Panda 2,165249063,5/26/11,150000000.0
Hoodwinked Too! Hood vs. Evil,10143779,4/29/11,30000000.0
Rio,143619809,4/15/11,90000000.0
Mars Needs Moms,21392758,3/11/11,150000000.0
Rango,123477607,3/4/11,135000000.0
The Illusionist (2010),2231474,12/25/10,17000000.0
Tangled,200821936,11/24/10,260000000.0
Megamind,148415853,11/5/10,130000000.0
Legend of the Guardians: The Owls of Ga'Hoole,55675313,9/24/10,80000000.0
Despicable Me,251513985,7/9/10,69000000.0
Toy Story 3,415004880,6/18/10,200000000.0
Shrek Forever After,238736787,5/21/10,165000000.0
How to Train Your Dragon,217581231,3/26/10,165000000.0
The Secret of Kells,676775,3/5/10,8000000.0
The Princess and the Frog,104400899,11/25/09,105000000.0
Planet 51,42194060,11/20/09,70000000.0
Fantastic Mr. Fox,21002919,11/13/09,40000000.0
A Christmas Carol (2009),137855863,11/6/09,200000000.0
Astro Boy,19551067,10/23/09,65000000.0
Cloudy with a Chance of Meatballs,124870275,9/18/09,100000000.0
9,31749894,9/9/09,30000000.0
Ice Age: Dawn of the Dinosaurs,196573705,7/1/09,90000000.0
Up,293004164,5/29/09,175000000.0
Monsters Vs. Aliens,198351526,3/27/09,175000000.0
Coraline,75286229,2/6/09,60000000.0
The Tale of Despereaux,50877145,12/19/08,60000000.0
Delgo,694782,12/12/08,40000000.0
Bolt,114053579,11/21/08,150000000.0
Madagascar: Escape 2 Africa,180010950,11/7/08,150000000.0
Igor,19528602,9/19/08,25000000.0
Fly Me to the Moon,13816982,8/15/08,25000000.0
Space Chimps,30105968,7/18/08,37000000.0
WALL-E,223808164,6/27/08,180000000.0
Kung Fu Panda,215434591,6/6/08,130000000.0
Dr. Seuss' Horton Hears a Who!,154529439,3/14/08,85000000.0
Beowulf,82280579,11/16/07,150000000.0
Bee Movie,126631277,11/2/07,150000000.0
The Simpsons Movie,183135014,7/27/07,75000000.0
Ratatouille,206445654,6/29/07,150000000.0
Shrek the Third,322719944,5/18/07,160000000.0
Aqua Teen Hunger Force Colon Movie Film for Theaters,5520368,4/13/07,750000
TMNT,54149098,3/23/07,34000000.0
Arthur and the Invisibles,15132763,12/29/06,86000000.0
Happy Feet,198000317,11/17/06,100000000.0
Flushed Away,64665672,11/3/06,149000000.0
Open Season,85105259,9/29/06,85000000.0
Renaissance,70644,9/22/06,18000000.0
Barnyard: The Original Party Animals,72637803,8/4/06,51000000.0
The Ant Bully,28142535,7/28/06,50000000.0
Monster House,73661010,7/21/06,75000000.0
Cars,244082982,6/9/06,120000000.0
The Wild,37384046,4/14/06,80000000.0
Ice Age: The Meltdown,195330621,3/31/06,80000000.0
Curious George,58360760,2/10/06,50000000.0
Chicken Little,135386665,11/4/05,150000000.0
Wallace and Gromit: The Curse of the Were-Rabbit,56110897,10/5/05,30000000.0
Valiant,19478106,8/19/05,35000000.0
Steamboy,468867,3/18/05,22000000.0
Robots,128200012,3/11/05,75000000.0
Pooh's Heffalump Movie,18098433,2/11/05,20000000.0
The SpongeBob SquarePants Movie,85417988,11/19/04,30000000.0
The Polar Express,187224490,11/10/04,165000000.0
The Incredibles,261441092,11/5/04,92000000.0
Shark Tale,160861908,10/1/04,75000000.0
Shrek 2,441226247,5/19/04,150000000.0
Home on the Range,50030461,4/2/04,110000000.0
Looney Tunes: Back in Action,20991364,11/14/03,80000000.0
Sinbad: Legend of the Seven Seas,26483452,7/2/03,60000000.0
Rugrats Go Wild,39402572,6/13/03,25000000.0
Finding Nemo,380843261,5/30/03,94000000.0
The Jungle Book 2,47901582,2/14/03,20000000.0
The Wild Thornberrys,40108697,12/20/02,25000000.0
Treasure Planet,38176783,11/27/02,140000000.0
Jonah: A VeggieTales Movie,25581229,10/4/02,14000000.0
The Powerpuff Girls Movie,11412414,7/3/02,11000000.0
Hey Arnold! The Movie,13728902,6/28/02,3000000.0
Lilo & Stitch,145794338,6/21/02,80000000.0
Spirit: Stallion of the Cimarron,73280117,5/24/02,80000000.0
Ice Age,176387405,3/15/02,59000000.0
Return to Never Land,48430258,2/15/02,20000000.0
Jimmy Neutron: Boy Genius,80936232,12/21/01,30000000.0
"Monsters, Inc.",289916256,11/2/01,115000000.0
Final Fantasy: The Spirits Within,32131830,7/11/01,137000000.0
Atlantis: The Lost Empire,84056472,6/8/01,120000000.0
Shrek,267665011,5/16/01,60000000.0
Pokemon 3: The Movie,17052128,4/6/01,16000000.0
Recess: School's Out,36706141,2/16/01,23000000.0
The Emperor's New Groove,89302687,12/15/00,100000000.0
Rugrats in Paris: The Movie,76507756,11/17/00,30000000.0
Digimon: The Movie,9631153,10/6/00,5000000.0
Pokemon: The Movie 2000,43758684,7/21/00,30000000.0
Chicken Run,106834564,6/23/00,45000000.0
Titan A.E.,22753426,6/16/00,75000000.0
Dinosaur,137748063,5/19/00,127500000.0
The Road to El Dorado,50863742,3/31/00,95000000.0
The Tigger Movie,45554533,2/11/00,30000000.0
Toy Story 2,245852179,11/19/99,90000000.0
Pokemon: The First Movie,85744662,11/10/99,30000000.0
The Iron Giant,23159305,8/3/99,70000000.0
"South Park - Bigger, Longer and Uncut",52037603,6/30/99,21000000.0
Tarzan,171091819,6/16/99,130000000.0
The King and I (1999),11993021,3/19/99,25000000.0
The Prince of Egypt,101413188,12/18/98,70000000.0
A Bug's Life,162798565,11/20/98,120000000.0
The Rugrats Movie,100494675,11/20/98,24000000.0
Antz,90757863,10/2/98,105000000.0
I Married a Strange Person!,206272,8/28/98,250000
Hercules,99112101,6/15/97,85000000.0
Beavis and Butt-Head Do America,63118386,12/20/96,12000000.0
The Hunchback of Notre Dame,100138851,6/21/96,100000000.0
Arabian Knight,669276,8/25/95,25000000.0
The Lion King,422783777,6/15/94,45000000.0
Aladdin,217350219,11/13/92,28000000.0
Beauty and the Beast,218967620,11/15/91,25000000.0
